,Method,ACC,precision,recall,f1-score
0,GaussianNB,0.9534883720930233,0.9651162790697675,0.9534883720930233,0.9553571428571428
1,LinearDiscriminantAnalysis,0.9767441860465116,0.9780361757105943,0.9767441860465116,0.974750830564784
2,LogisticRegression,0.9767441860465116,0.9825581395348837,0.9767441860465116,0.9780529547971408
3,MLPClassifier,0.9767441860465116,0.9780361757105943,0.9767441860465116,0.974750830564784
4,DecisionTreeClassifier,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9534883720930233
5,RandomForestClassifier,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9534883720930233
6,BaggingClassifier,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9534883720930233
7,GaussianNB,0.8837209302325582,0.8344961240310077,0.8837209302325582,0.8551567239635995
8,LinearDiscriminantAnalysis,0.9534883720930233,0.9583843329253365,0.9534883720930233,0.9431524547803618
9,LogisticRegression,0.9767441860465116,0.9825581395348837,0.9767441860465116,0.9780529547971408
10,MLPClassifier,0.9767441860465116,0.9780361757105943,0.9767441860465116,0.974750830564784
11,DecisionTreeClassifier,0.9302325581395349,0.9211886304909561,0.9302325581395349,0.9242524916943523
12,RandomForestClassifier,0.9302325581395349,0.9211886304909561,0.9302325581395349,0.9242524916943523
13,BaggingClassifier,0.9302325581395349,0.9211886304909561,0.9302325581395349,0.9242524916943523
14,GaussianNB,0.9302325581395349,0.9379844961240309,0.9302325581395349,0.93094576050845
15,LinearDiscriminantAnalysis,1.0,1.0,1.0,1.0
16,LogisticRegression,1.0,1.0,1.0,1.0
17,MLPClassifier,1.0,1.0,1.0,1.0
18,DecisionTreeClassifier,1.0,1.0,1.0,1.0
19,RandomForestClassifier,1.0,1.0,1.0,1.0
20,BaggingClassifier,1.0,1.0,1.0,1.0
21,GaussianNB,0.8604651162790697,0.8908765652951699,0.8604651162790697,0.8661683277962348
22,LinearDiscriminantAnalysis,1.0,1.0,1.0,1.0
23,LogisticRegression,0.9534883720930233,0.9720930232558139,0.9534883720930233,0.9578488372093024
24,MLPClassifier,0.9534883720930233,0.9720930232558139,0.9534883720930233,0.9578488372093024
25,DecisionTreeClassifier,0.9534883720930233,0.9720930232558139,0.9534883720930233,0.9578488372093024
26,RandomForestClassifier,0.9534883720930233,0.9720930232558139,0.9534883720930233,0.9578488372093024
27,BaggingClassifier,0.9534883720930233,0.9720930232558139,0.9534883720930233,0.9578488372093024
28,GaussianNB,0.9302325581395349,0.9379844961240309,0.9302325581395349,0.93094576050845
29,LinearDiscriminantAnalysis,0.9767441860465116,0.9780361757105943,0.9767441860465116,0.974750830564784
30,LogisticRegression,0.9767441860465116,0.9825581395348837,0.9767441860465116,0.9780529547971408
31,MLPClassifier,0.9767441860465116,0.9780361757105943,0.9767441860465116,0.974750830564784
32,DecisionTreeClassifier,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9534883720930233
33,RandomForestClassifier,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9534883720930233
34,BaggingClassifier,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9534883720930233
35,GaussianNB,0.9069767441860465,0.9083184257602862,0.9069767441860465,0.9021456256921372
36,LinearDiscriminantAnalysis,1.0,1.0,1.0,1.0
37,LogisticRegression,1.0,1.0,1.0,1.0
38,MLPClassifier,1.0,1.0,1.0,1.0
39,DecisionTreeClassifier,1.0,1.0,1.0,1.0
40,RandomForestClassifier,1.0,1.0,1.0,1.0
41,BaggingClassifier,1.0,1.0,1.0,1.0
42,GaussianNB,0.8604651162790697,0.8604651162790697,0.8604651162790697,0.8604651162790697
43,LinearDiscriminantAnalysis,0.9302325581395349,0.8709302325581396,0.9302325581395349,0.8981772470144563
44,LogisticRegression,1.0,1.0,1.0,1.0
45,MLPClassifier,0.9302325581395349,0.8709302325581396,0.9302325581395349,0.8981772470144563
46,DecisionTreeClassifier,0.9302325581395349,0.8709302325581396,0.9302325581395349,0.8981772470144563
47,RandomForestClassifier,0.9302325581395349,0.8709302325581396,0.9302325581395349,0.8981772470144563
48,BaggingClassifier,0.9302325581395349,0.8709302325581396,0.9302325581395349,0.8981772470144563
49,GaussianNB,0.9302325581395349,0.943798449612403,0.9302325581395349,0.9342680196446627
50,LinearDiscriminantAnalysis,1.0,1.0,1.0,1.0
51,LogisticRegression,1.0,1.0,1.0,1.0
52,MLPClassifier,0.6511627906976745,0.4859431524547803,0.6511627906976745,0.5403839055001846
53,DecisionTreeClassifier,1.0,1.0,1.0,1.0
54,RandomForestClassifier,1.0,1.0,1.0,1.0
55,BaggingClassifier,1.0,1.0,1.0,1.0
56,GaussianNB,0.9302325581395349,0.9379844961240309,0.9302325581395349,0.93094576050845
57,LinearDiscriminantAnalysis,1.0,1.0,1.0,1.0
58,LogisticRegression,0.9767441860465116,0.9825581395348837,0.9767441860465116,0.9780529547971408
59,MLPClassifier,1.0,1.0,1.0,1.0
60,DecisionTreeClassifier,0.9767441860465116,0.9825581395348837,0.9767441860465116,0.9780529547971408
61,RandomForestClassifier,0.9767441860465116,0.9825581395348837,0.9767441860465116,0.9780529547971408
62,BaggingClassifier,0.9767441860465116,0.9825581395348837,0.9767441860465116,0.9780529547971408
